ID,Collection,ENS,Minting Date,Tx Count,Power
7022734,0x412e5d59225cba9e7d92ecf710cec73596daabc9,,Mon Feb 26 2024 15:16:00 GMT+0100 (Central European Standard Time),1,1
7000556,0xaa29989a258c51271418549c4e41e2faa086524c,stefan0x0.eth,Mon Feb 12 2024 05:01:20 GMT+0100 (Central European Standard Time),1,5
6993363,0x301605c95acbed7a1fd9c2c0deee964e2afbd0c3,kosmostasis.eth,Tue Feb 06 2024 15:53:20 GMT+0100 (Central European Standard Time),1,199
6987352,0xa9b1078d07a188c7710b0ed12110cf91ba79b601,ccolorado.eth,Wed Jan 31 2024 04:46:25 GMT+0100 (Central European Standard Time),1,116
6980602,0xae441115026f81eea3c8882e909852080b4a2680,danielrachi.eth,Wed Jan 24 2024 18:25:45 GMT+0100 (Central European Standard Time),1,19
6971929,0x15e06d063115fbe25815fcdbb04ace5dc1df7dc8,angaz.eth,Thu Jan 18 2024 00:27:20 GMT+0100 (Central European Standard Time),1,13
6971792,0x27fd13b48b27e9eca9804c1fd857ba44f755dc62,stokes.eth,Wed Jan 17 2024 21:32:30 GMT+0100 (Central European Standard Time),1,23
6971742,0xbd20e68967fc2a813356bff4754bba48692d8e0d,velvetshark.eth,Wed Jan 17 2024 19:29:10 GMT+0100 (Central European Standard Time),1,33
6971711,0x4f1d162ecbe9aaa62412eb6f13bbff94226b68eb,kofon.eth,Wed Jan 17 2024 18:39:40 GMT+0100 (Central European Standard Time),1,6
6971681,0x8720c210fba995e95db05bb4481c2bf92826f44b,savio-sou.eth,Wed Jan 17 2024 18:01:05 GMT+0100 (Central European Standard Time),1,6
6971586,0x036395bbb9a85b8e285a1323e46650738d543d44,asmalsosyal.eth,Wed Jan 17 2024 14:27:15 GMT+0100 (Central European Standard Time),1,15
6971497,0x17c2d875cb397d813eae817dafd25807e348df07,kozi.eth,Wed Jan 17 2024 10:54:25 GMT+0100 (Central European Standard Time),1,5
6956120,0x6b89d4cb49ee46a4a31252b0e16f50550ccf67be,thomasbarker.eth,Thu Jan 04 2024 14:13:20 GMT+0100 (Central European Standard Time),1,29
6956108,0x4fd93e1ab26fc570792eef452c0b38e480698031,dbas1.eth,Thu Jan 04 2024 13:13:00 GMT+0100 (Central European Standard Time),1,3
6956049,0xeecfb05f5a8ff3ca973f1aeb167c4ec4300b94f0,ahmetrecepoglu.eth,Thu Jan 04 2024 10:20:30 GMT+0100 (Central European Standard Time),1,39
6955964,0x7774a3e918ebbe88c8d46a8fad0af506d00ad54b,kennyhowlah.eth,Thu Jan 04 2024 06:05:25 GMT+0100 (Central European Standard Time),1,10
6955940,0x4452fb36ba1085e84e2d9d3485ccccc240febf72,,Thu Jan 04 2024 03:26:20 GMT+0100 (Central European Standard Time),1,10
6955692,0x0c55dee87733472b7fae558612c59d171acee726,karyagar.eth,Wed Jan 03 2024 20:44:15 GMT+0100 (Central European Standard Time),1,12
6955591,0xcc42c47a373aa9e316818ed46c9420abfbc7fed8,,Wed Jan 03 2024 17:36:35 GMT+0100 (Central European Standard Time),1,18
6955529,0x73490cfb385ef9348138d374d739482333c66c69,leafar.eth,Wed Jan 03 2024 15:26:55 GMT+0100 (Central European Standard Time),1,2
6955528,0x1358155a15930f89ebc787a34eb4ccfd9720bc62,limone.eth,Wed Jan 03 2024 15:24:30 GMT+0100 (Central European Standard Time),1,99
6955505,0x62cb6cd580b049228fce033ba3d91f8d2b35d395,masvinito.eth,Wed Jan 03 2024 14:49:00 GMT+0100 (Central European Standard Time),1,139
