ID,Collection,ENS,Minting Date,Tx Count,Power
4750839,0x60dad8350bba2b4f2c8fbe5d1c2a25d79a1fc8d5,0xtoucan.eth,Tue Apr 19 2022 07:40:25 GMT+0200 (Central European Summer Time),2,276
7087938,0xa94f8e818f8347ea28f893552f6ecb61ed343cec,,Fri Mar 22 2024 02:29:50 GMT+0100 (Central European Standard Time),1,44
6921702,0x46185b79588762f6bca8ac63f06d9de2183e1e21,,Fri Nov 24 2023 10:37:15 GMT+0100 (Central European Standard Time),1,6
6746062,0x665d84fffddd72d24df555e6b065b833478dffca,,Mon Aug 07 2023 23:01:30 GMT+0200 (Central European Summer Time),1,11
5836130,0x3badb1a0fed4d2611d9963bfcdb64168a01c753e,,Sun Oct 30 2022 12:22:35 GMT+0100 (Central European Standard Time),1,5
5733962,0x4ae7ffa2291adf1fbd4b02650d25b2f54d5e90b8,leilastein.eth,Mon Oct 10 2022 21:12:50 GMT+0200 (Central European Summer Time),1,13
5598026,0x54cf8930796e1e0c7366c6f04d1ea6ad6fa5b708,,Thu Sep 08 2022 09:18:55 GMT+0200 (Central European Summer Time),1,25
5224412,0xbb1d9a024fee509d165d6bf3bde693e87735f0ee,ayamiya.eth,Thu Jun 23 2022 06:58:05 GMT+0200 (Central European Summer Time),1,32
5064410,0xaf9147b095574f574ca1567d2c226bfdf1dc5476,,Sat May 28 2022 01:28:40 GMT+0200 (Central European Summer Time),1,34
4747011,0x75ea25dc7bd80907bef93074daef38a84a87d0db,inseon.eth,Mon Apr 18 2022 12:16:20 GMT+0200 (Central European Summer Time),1,8
5013143,0x238777cbdaf028aa7f79e76a983abaaaf071ba2e,,Fri May 20 2022 17:57:55 GMT+0200 (Central European Summer Time),1,23
4996765,0xf2f4b64ccce9ec59f654bc98b2ca46db74f97e2e,airton.eth,Thu May 19 2022 11:43:20 GMT+0200 (Central European Summer Time),1,9
4984729,0x9a0f481efcb8a91b616e1ace06572f66334dac22,3alpha.eth,Tue May 17 2022 19:18:45 GMT+0200 (Central European Summer Time),1,11
4980838,0x072f687a6b5eee650ca0479feffad191b6b5d380,,Tue May 17 2022 10:38:20 GMT+0200 (Central European Summer Time),1,1
4980694,0x7747cc3b7d26f717bfbac744b6c025a361c1aeb6,,Tue May 17 2022 06:38:45 GMT+0200 (Central European Summer Time),1,1
4978701,0x22270a0b82cbf0bd80c6e0fad85342600518e114,raphabenoi.eth,Mon May 16 2022 21:33:05 GMT+0200 (Central European Summer Time),1,17
4978622,0x95fe17d2c5eb65e9e92960a06236a0634fe79e04,aeluteia.eth,Mon May 16 2022 20:55:35 GMT+0200 (Central European Summer Time),1,5
4978258,0xf70e17b5afdf83899f9f4cb7c7f9d56867d138c7,renshawdev.eth,Mon May 16 2022 17:42:45 GMT+0200 (Central European Summer Time),1,16
4977717,0x00d9af2416055ab8be6b53e3c13c7416ddb3c419,,Mon May 16 2022 14:40:50 GMT+0200 (Central European Summer Time),1,7
4977437,0xff001e305dcc787da1d1ff554c25f8876a37cb22,andrascodes.eth,Mon May 16 2022 10:54:40 GMT+0200 (Central European Summer Time),1,6
4975840,0xb05bc03b85951725e37acb6384c5769605693cb5,,Sun May 15 2022 23:13:10 GMT+0200 (Central European Summer Time),1,80
4973958,0x7bc5bcca4bafcb0ade20c74e395c6e4d608acf36,,Sun May 15 2022 14:33:40 GMT+0200 (Central European Summer Time),1,4
4973522,0x97d0bc262dfc2fbe2e6c62883a669e765fe3d83e,gabinh.sismo.eth,Sun May 15 2022 09:33:35 GMT+0200 (Central European Summer Time),1,18
4957259,0xcdfa7ae3cd3b4611f5b2d2873fbe27c533356315,louiseaux.eth,Thu May 12 2022 21:57:45 GMT+0200 (Central European Summer Time),1,11
4956249,0x818d9ecf1fb070d8d5991ee06714ae63d353a1dd,mrtibbets.eth,Thu May 12 2022 19:44:55 GMT+0200 (Central European Summer Time),1,3
4945908,0x541a87b6cd67c2f0888946586fbf49de39cbb11a,,Wed May 11 2022 23:00:40 GMT+0200 (Central European Summer Time),1,2
4944205,0xc0bfbc27d544f3382b8d6853084be02a00a1947f,sarahbenson.eth,Wed May 11 2022 16:59:10 GMT+0200 (Central European Summer Time),1,6
4942202,0x0bc53a5225417682cf22edac420e9d17b32ecc08,mrbull667.eth,Wed May 11 2022 13:48:50 GMT+0200 (Central European Summer Time),1,5
4941464,0x80cc263cb3fa1be2aec748b3811261c1e2a1ba8d,tomek.eth,Wed May 11 2022 09:53:05 GMT+0200 (Central European Summer Time),1,3
4939112,0x5b2063246f2191f18f2675cedb8b28102e957458,jasoncarver.eth,Wed May 11 2022 00:11:45 GMT+0200 (Central European Summer Time),1,7
4937498,0x818cf89054b3a5e03d4677b52982e8319d009194,,Tue May 10 2022 20:49:35 GMT+0200 (Central European Summer Time),1,20
4933528,0x499eb561220eb358ccbc5a72d4cdd4f5b76a2d2a,sylve.eth,Tue May 10 2022 11:16:45 GMT+0200 (Central European Summer Time),1,7
4933259,0xd507e9ae6d884f6850b249c04353cde87472355e,0xpearl.eth,Tue May 10 2022 08:51:25 GMT+0200 (Central European Summer Time),1,7
4931914,0xa46d8b3f3e0d51cfd29fcaaaec2754d0e168d6ae,,Tue May 10 2022 02:29:05 GMT+0200 (Central European Summer Time),1,2
4930806,0x225a0871fe471a294de1324213e7029a1f81978f,arredondo.eth,Mon May 09 2022 21:54:50 GMT+0200 (Central European Summer Time),1,46
4927592,0xd1da06878d2817a358498c384418417a752dfa68,,Mon May 09 2022 10:24:00 GMT+0200 (Central European Summer Time),1,16
4927444,0xede0452e572aaa3e9d577d07eeb4cfeb8f6f3583,,Mon May 09 2022 09:02:05 GMT+0200 (Central European Summer Time),1,4
4925397,0x1291ae2fd07a6f8f270598fd74aefb75c1cf127c,prism0x.eth,Sun May 08 2022 22:10:00 GMT+0200 (Central European Summer Time),1,2
4925224,0xd42f800d937005a4ce2dfe39d111a71db1fd6a79,maxgillett.eth,Sun May 08 2022 20:05:00 GMT+0200 (Central European Summer Time),1,5
4924826,0x09aa8bf4d27dae690486c052f23eda6882597a9a,barrutko.eth,Sun May 08 2022 17:26:25 GMT+0200 (Central European Summer Time),1,43
4923654,0xa1ed93bf44ba35f1e8ebfb4d104a0e109337a5aa,zumzoom.eth,Sun May 08 2022 09:38:55 GMT+0200 (Central European Summer Time),1,20
4921918,0x5a0edc539115ddfc69b61fa56073abb12d2dd1e6,,Sat May 07 2022 19:35:55 GMT+0200 (Central European Summer Time),1,4
4921797,0x75c7d81a6955c11da663432eb5fa4caa78051ea1,amzah.eth,Sat May 07 2022 18:18:55 GMT+0200 (Central European Summer Time),1,35
4921632,0x33d66941465ac776c38096cb1bc496c673ae7390,donnoh.eth,Sat May 07 2022 16:53:50 GMT+0200 (Central European Summer Time),1,34
4921136,0xee6d13b2bab0a151d501cdc98e705ea37cd7167f,0xrama.eth,Sat May 07 2022 13:40:40 GMT+0200 (Central European Summer Time),1,5
4914912,0xd97672177e0673227fa102c91bfa8b8cfa825141,wiredin.eth,Fri May 06 2022 21:52:40 GMT+0200 (Central European Summer Time),1,51
4914657,0x09825ac4fb2189bb789c155633b8a78407d64004,,Fri May 06 2022 21:00:50 GMT+0200 (Central European Summer Time),1,6
4912494,0x1559fe3f2b0a88de65c90be134097a006b27d2a7,koalabs.eth,Fri May 06 2022 18:21:40 GMT+0200 (Central European Summer Time),1,23
4910831,0x55f9b49bda81ad6088459a707a4e4551aa3b2f4d,,Fri May 06 2022 15:00:55 GMT+0200 (Central European Summer Time),1,1
4910336,0x5fee62a7b17efff74b7dbbcc4edbc2b7f7fbb818,,Fri May 06 2022 13:30:05 GMT+0200 (Central European Summer Time),1,23
4909295,0xeafdb80542f68998cfc51fac21bf51b510d0d859,,Fri May 06 2022 08:46:15 GMT+0200 (Central European Summer Time),1,1
4905831,0xd38aa7740f087d115a4f3f528866ef7a87e56f91,,Thu May 05 2022 18:53:00 GMT+0200 (Central European Summer Time),1,15
4901010,0xd5c9c9679879f4f0e5b1ac254f7ac7fe2416654f,,Thu May 05 2022 13:04:35 GMT+0200 (Central European Summer Time),1,45
4900703,0xb7ee0b6889cd0590a590aab01485ea164db03307,fllstck.eth,Thu May 05 2022 10:36:10 GMT+0200 (Central European Summer Time),1,31
4900448,0x25bc7cac7761cc704a1120a618b44d2e76dd07df,miloops.eth,Thu May 05 2022 08:46:55 GMT+0200 (Central European Summer Time),1,7
4900279,0x46f5a1330f5a43db741a7d9256c7510bcee341b7,carollynne.eth,Thu May 05 2022 07:57:35 GMT+0200 (Central European Summer Time),1,1
4899746,0x65150b5fa861481651225ef4412136dcbf696232,0xyuzu.eth,Thu May 05 2022 05:49:15 GMT+0200 (Central European Summer Time),1,83
4898238,0x834cd15ff1001a63ef7d397c8ccd23520a654c0f,yeoudev.eth,Thu May 05 2022 03:15:20 GMT+0200 (Central European Summer Time),1,87
4893724,0xedc490df6ead15676dd1f7b1326e7e6a9586c21b,0xdefidev.eth,Wed May 04 2022 20:15:10 GMT+0200 (Central European Summer Time),1,23
